Threshold,Time(s),Expected,Actual
1,7.8141,80000000,80000000
2,5.3073,80000000,80000000
4,3.9519,80000000,80000000
8,3.5824,80000000,80000000
16,3.6365,80000000,80000000
32,3.5496,80000000,80000000
64,3.4530,80000000,80000000
128,3.5400,80000000,80000000
256,3.5274,80000000,79998976
512,3.5211,80000000,79998976
1024,3.4792,80000000,79994880
